修正・追記	Gene	別名	該当する造血器疾患	臨床的有用性	遺伝子変異の機能的意義とその種類	関連する染色体構造変化	Fast-track 対象遺伝子異常	エビデンスレベル＿診断	根拠となる論文、学会指針、臨床試験	エビデンスレベル＿治療法選択	根拠となる論文、学会指針、臨床試験	エビデンスレベル＿予後予測	根拠となる論文、学会指針、臨床試験	遺伝子異常と関連して、当該疾患に対して薬事　承認された薬剤	遺伝子異常と関連して、当該疾患に対してFDA　承認された薬剤	遺伝子異常と関連して、他の腫瘍に対して薬事　承認された薬剤	遺伝子異常と関連して、他の腫瘍に対してFDA　承認された薬剤	その他コメント
	MYC		HGBL 	1	機能獲得（増幅、再構成：IGH/MYCなど）	amp(8q24), t(8;14)(q24;q32)など		A	WHO2017									
	MYC		M-PTLD	1	機能獲得（再構成：IGH/MYC）	t(8;14)(q24;q32)など		A	WHO2017, NCCN2019									
	MYC		MCL	1	機能獲得（増幅、再構成：IGH/MYCなど）	amp(8q24), t(8;14)(q24;q32)など		A	WHO2017			A	WHO2017					
	MYC		MEITL	1	機能獲得（増幅）	amp(8q24)		A	WHO2017									
	MYC		MM	1	機能獲得（再構成：IGH/MYC, 増幅）	t(8;14)(q24;q32)など, amp(8q24)		A	WHO2017, PMID: 29884741, 28584253			C	PMID: 26282654, 24632883					
	MYC		PBL	1	機能獲得（再構成：IGH/MYCなど）	t(8;14)(q24;q32)など		A	WHO2017									
	MYC		PCNSL	1	機能獲得（再構成：IGH/MYCなど）、機能不明（変異）	t(8;14)(q24;q32)など		A	WHO2017									
	MYC		T-ALL	1	機能獲得（再構成：TRA/MYCなど）	t(8;14)(q24;q11)など		A	WHO2017									
	MYC		T-PLL	1	機能獲得（増幅）	amp(8q24)		A	WHO2017									
	MYH11		AML with t(16;16)(p13.1;q22); CBFB-MYH11	1	機能獲得（融合：CBFB/MYH11）	inv(16)(p13.1q22)		A	WHO2017			A	NCCN2020, ELN2017					
	NDE1		AML with MRC	1	機能獲得（融合：NDE1/PDGFRB）	t(5;16)(q32;p13)		A	WHO2017									
	NPM1		ALCL (ALK+)	1	機能獲得（融合：NPM1/ALK）	t(2;5)(p23;q35)		A	WHO2017									
	NPM1		AML with MRC	1	機能獲得（融合：NPM1/MLF1）	t(3;5)(q25.3;q35.1)		A	WHO2017, ELN2017									
	NPM1		APL	1	機能獲得（融合：NPM1/RARA）	t(5;17)(q35;q21)		A	WHO2017									
	NPM1		C-ALCL	1	機能獲得（融合：NPM1/TYK2）	t(5;19)(q35;p13)  		A	WHO2017									
	NPM1		LBCL (ALK+)	1	機能獲得（融合：NPM1/ALK）	t(2;5)(p23;q35)		A	WHO2017									
	NSD1		AML	1	機能獲得（融合：NUP98/NSD1）	t(5;11)(q35;p15.5)		A	WHO2017			C	PMID: 21813447, 29227476					
	NSD2	WHSC1, MMSET	MM	1	機能獲得（再構成：IGH/NSD2）　	t(4;14)(p16.3;q32.3)		A	WHO2017, NCCN2017, PMID: 27002115, 28584253, 21430775			A	WHO2017, NCCN2017, PMID: 27002115, 28584253					FGFR3 はNSD2に隣接する（セントロメア側約 60 kb ～に位置）。
	NTRK3	TrkC	AML	2	機能獲得（融合：ETV6/NTRK3）	t(12;15)(p13;q25)		D	PMID: 9949179, 10775267, 21401966, 31551508	C							Entrectinib, Larotrectinib (融合遺伝子)	
	NTRK3	TrkC	B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：ETV6/NTRK3）	t(12;15)(p13;q25)		A	NCCN2020 (Pediatric ALL), PMID: 29997224, 25207766, 30181314, 31935290	C	PMID: 29880614	A	NCCN2020 (Pediatric ALL)				Entrectinib, Larotrectinib (融合遺伝子)	
	NUMA1		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：NUMA1/PDGFRB）	t(5;11)(q33;q13)		A	WHO2017, PMID: 25207766, 30181314, 31935290	C	NCT01406756, NCT02883049, NCT03117751, PMID: 23835704, 31434701	A	WHO2017, NCCN2020 (Pediatric ALL)			Imatinib, Sunitinib（変異規定なし）	Regorafenib, Sunitinib（変異規定なし）	
	NUP214		AML with t(6;9)(p23;q34.1); DEK-NUP214	1	機能獲得（融合：DEK/NUP214）	t(6;9)(p22;q34)		A	WHO2017, ELN2017			A	WHO2017, ELN2017					
	NUP214		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：NUP214/ABL1）	ABL1: 9q34.12,  NUP214: 9q34.13		A	WHO2017, PMID: 30181314, 31935290, 31434701	C	NCT01406756, NCT02883049, NCT03117751, PMID: 31434701	A	NCCN2020 (Pediatric ALL)					
	NUP98		AML	1	機能獲得（融合：NUP98/NSD1, NUP98/KDM5Aなど）	t(5;11)(q35;p15.5), t(11;12)(p15;p13) など		A	WHO2017			C	PMID: 21813447, 29227476					
	P2RY8		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：P2RY8/CRLF2）	t(X)(p22p22)		A	WHO2017, PMID: 25207766, 30181314, 31935290	C	NCT02723994, NCT03117751, NCT03571321; PMID: 22904298, 22955920	A	WHO2017, PMID: 20378752, 20139093					PAR1の欠失を伴う。
	PAX5		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：PAX5/JAK2）	t(9;9)(p13;p24)		A	WHO2017, PMID: 25207766, 30181314, 31935290	C	NCT02723994, NCT03117751, NCT03571321, PMID: 22875628, 22899477	A	NCCN2020 (Pediatric ALL)					
	PAX5		WM/LPL	1	機能獲得（再構成：IGH/PAX5）	t(9;14)(p13;q32)		A	WHO2017									
	PBX1		B-ALL/LBLL with t(1;19)(q23;p13.3); TCF3-PBX1	1	機能獲得（融合：TCF3/PBX1）	t(1;19)(q23;p13.3)		A	WHO2017									
	PCM1		MLN-e with PCM1-JAK2	1	機能獲得（融合：PCM1/JAK2）	t(8;9)(p22;p24) 		A	WHO2017	D	PMID: 22875628							
	PDCD1LG2	PD-L2	CHL	1	機能獲得（増幅）	amp(9p24)		A	WHO2017, PMID: 27069084, 29222272			D	PMID: 27069084					
	PDCD1LG2	PD-L2	DLBCL	1	機能獲得（増幅、再構成）	amp(9p24)		A	WHO2017, PMID: 27268263									
	PDCD1LG2	PD-L2	PMBL	1	機能獲得（増幅、再構成）	amp(9p24)		A	WHO2017, PMID: 24497532, 31292115 									
	PDGFRA		MLN-e with PDGFRA rearrangement	1	機能獲得（融合：FIP1LI/PDGFRA）	del(4)(q12q12)		A	WHO2017, PMID: 12660384	A	NCCN, JSH-GL, ELN			Imatinib	Imatinib	Sunitinib（変異規定なし）	Sunitinib（変異規定なし）	
	PDGFRB		AML with MRC	1	機能獲得（融合：NDE1/PDGFRB）	t(5;17)(q32;p13.2)		A	WHO2017						Imatinib	Sunitinib（変異規定なし）	Regorafenib, Sunitinib（変異規定なし）	
	PDGFRB		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：EBF1/PDGFRB, ETV6/PDGFRB, ATF7IP/PDGFRB, NUMA1/PDGFRB, など）	del(5)(q32q33) t(5;12)(q33;p13) t(5;12)(q33;p13),   t(5;11) (q33;q13)		A	WHO2017, PMID: 25207766, 30181314, 31935290	C	NCT01406756, NCT02883049, NCT03117751, PMID: 23835704, 31434701	A	WHO2017, NCCN2020 (Pediatric ALL)			Imatinib, Sunitinib（変異規定なし）	Regorafenib, Sunitinib（変異規定なし）	
	PDGFRB		MLN-e with PDGFRB rearrangement	1	機能獲得（融合：ETV6/PDGFRB）	t(5;12)(q32;p13.2)		A	WHO2017	D	PMID: 12181402, 24687085				Imatinib	Sunitinib（変異規定なし）	Regorafenib, Sunitinib（変異規定なし）	
	PICALM	CALM	AML	1	機能獲得（融合：PICALM/MLLT10）	t(10;11)(p13;q21)		A	ELN2017, PMID: 23634996									
	PICALM	CALM	T-ALL	1	機能獲得（融合：PICALM/MLLT10）	t(10;11)(p13;q14)		A	WHO2017									
	PML		APL with PML-RARA	1	機能獲得（融合：PML/RARA）	t(15;17)(q24;q21)		A	WHO2017, ELN2017, NCCN2020	A	日本血液学会診療ガイドライン、NCCN2020	A	NCCN2020, PMID: 27276561	ATRA, Trisenoox (ATO)				
	PRDM1	BLIMP1	ALCL (ALK-)	1	機能喪失	del(6q21)		A	WHO2017			A	WHO2017					
	PRDM1	BLIMP1	DLBCL	1	機能喪失	del(6q21)		A	WHO2017									
	PRDM1	BLIMP1	ENKTL	1	機能喪失	del(6q21)		A	WHO2017									
	PRDM1	BLIMP1	PCNSL	1	機能喪失	del(6q21)		A	WHO2017									
	PRDM16		AML with MRC	1	機能獲得（再構成：RPN1/PRDM16）	t(1;3)(p36.3;q21.2)		A	WHO2017									
	PTEN		Duodenal-type FL (DFL)	1	機能喪失	del(10q23)		A	WHO2017									コピー数異常をきたす領域に存在するが、当該遺伝子の欠失と病的意義との直接的な関連は明らかでない。
	PTEN		FL	1	機能喪失	del(10q23)		A	WHO2017									当該疾患以外の疾患の発症と関連した生殖細胞系列の病的バリアントである可能性がある。
	PTEN		Mycosis fungoides	1	機能喪失	del(10q23)		A	WHO2017									当該疾患以外の疾患の発症と関連した生殖細胞系列の病的バリアントである可能性がある。
	PVT1		MM	2	機能獲得（再構成：IGH/PVT1, WWOX/PVT1, NBEA/ PVT1など）	t(8;14)(q24;q32) など		D	PMID: 22869583									PVT-1はnon coding RNAでMYC遺伝子に隣接し、互いの発現を安定化させることも報告されている。
	RANBP2		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合： RANBP2/ABL1）	 t(2;9)(q12;q34)		A	WHO2017, PMID: 25207766, 30181314, 31935290	C	NCT01406756, NCT02883049, NCT03117751, PMID: 31434701	A	NCCN2020 (Pediatric ALL)			Dasatinib		
	RARA		APL with PML-RARA	1	機能獲得（融合：PML/RARA）	t(15;17)(q24;q21)		A	WHO2017, ELN2017, NCCN2020	A	日本血液学会診療ガイドライン、NCCN2020	A	NCCN2020, PMID: 27276561	ATRA, Trisenoox (ATO)				RARAのligand binding domain の変異により、ATRAに対する耐性を獲得する可能性がある。ZBTB16-RARAやSTAT5B-RARAなどvariant RARA translocationも報告されている。
	RB1		MM	1	機能喪失	del(13q)		A	WHO2017, PMID: 21430775, 24434212, 26282654, 20616218									当該疾患以外の疾患の発症と関連した生殖細胞系列の病的バリアントである可能性がある。
	RBM15		AML (megakaryoblastic) with t(1;22)(p13.3;q13.3); RBM15-MKL1	1	機能獲得（融合：RBM15/MKL1）	t(1;22)(p13;q13)		A	WHO2017									
	RCSD1		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：RCSD1/ABL1, RCSD1/ABL2）	t(1;9)(q24;q34) t(1;1)(q24;q25)		A	WHO2017, PMID: 30181314, 31935290, 31434701	C	NCT01406756, NCT02883049, NCT03117751, PMID: 31434701	A	NCCN2020 (Pediatric ALL)					
	REL		CHL	1	機能獲得（増幅）	amp(2p16)		A	WHO2017									
	REL		DLBCL	1	機能獲得（増幅）	amp(2p16)		A	WHO2017									
	REL		PMBL	1	機能獲得（増幅）	amp(2p16)		A	WHO2017, NCCN2019									
	RPN1		AML with MRC	1	機能獲得（再構成：RPN1/PRDM16）	t(1;3)(p36.3;q21.2)		A	WHO2017									
	RUNX1	AML1	AML with MRC	1	機能獲得（融合：RUNX1/MECOMなど）	t(3;21)(q26;q22)など		A	WHO2017, ELN2017, NCCN2020			A	NCCN2020, ELN2017					
	RUNX1	AML1	AML with t(8;21)(q22;q22.1); RUNX1-RUNX1T1	1	機能獲得（融合：RUNX1/RUNX1T1）	t(8;21)(q22;q22)		A	WHO2017, ELN2017, NCCN2020			A	NCCN2020, ELN2017					
	RUNX1	AML1	B-ALL/LBLL with iAMP21	1	機能獲得（増幅）	iAMP21		A	WHO2017			A	NCCN2019					
	RUNX1	AML1	B-ALL/LBLL with t(12;21)(p13.2;q22.1); ETV6-RUNX1	1	機能獲得（融合：ETV6/RUNX1）	t(12;21)(p13;q22)		A	WHO2017			A	NCCN2019					
	RUNX1T1	ETO, MTG8	AML with t(8;21)(q22;q22.1); RUNX1-RUNX1T1	1	機能獲得（融合：RUNX1/RUNX1T1）	t(8;21)(q22;q22)		A	WHO2017, ELN2017, NCCN2020			A	NCCN2020, ELN2017					
	SPI1	PU.1	T-ALL	2	機能獲得（融合：TCF7/SPI1, STMN1/SPI1など）	t(5;11)(q31;p11), t(1;11)(p36;p11)など						C	PMID: 28671687, 28671688					
	SSBP2		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：SSBP2/CSF1R）	t(5;5)(q14;q32) or dup(5)(q14q32)		A	WHO2017, PMID: 25207766, 30181314, 31935290	C	NCT01406756, NCT02883049, NCT03117751, PMID: 31434701							
	STIL		T-ALL	1	機能獲得（再構成：TAL1/STILなど）	t(1;14)(p32;q11)など		A	WHO2017									
	STMN1		T-ALL	2	機能獲得（融合：STMN1/SPI1）	t(1;11)(p36;p11)						C	PMID: 28671687, 28671688					
	SYK		AITL	1	機能獲得（融合：ITK/SYK）	t(5;9)(q33;q22)		A	WHO2017									
	SYK		FTCL	1	機能獲得（融合：ITK/SYK）	t(5;9)(q33;q22)		A	WHO2017									
	TAL1		T-ALL	1	機能獲得（再構成：TAL1/STILなど）	t(1;14)(p32;q11)など		A	WHO2017									
	TCF3	E2A	B-ALL/LBLL	1	機能獲得（融合：TCF3/HLF）	t(17;19)(q22;p13)		A	WHO2017			A	NCCN2019, NCCN2020 (Pediatric ALL), WHO2017, PMID: 8608207					
	TCF3	E2A	B-ALL/LBLL with t(1;19)(q23;p13.3); TCF3-PBX1	1	機能獲得（融合：TCF3/PBX1）	t(1;19)(q23;p13.3)		A	WHO2017									 
	TCF7		T-ALL	2	機能獲得（融合：TCF7/SPI1）	t(5;11)(q31;p11)						C	PMID: 28671687					
	TCL1A		T-PLL	1	機能獲得（融合：TRA/TCL1A）	inv(14)(q11;q32), t(14;14)(q11;q32)		A	WHO2017, NCCN2019									
	TCL1B		T-PLL	1	機能獲得（融合：TRA/TCL1B）	inv(14)(q11;q32), t(14;14)(q11;q32)		A	WHO2017, NCCN2019									
	TLX1	HOX11	T-ALL	1	機能獲得（再構成：TLX1/TRDなど）	t(10;14)(q24;q11)など		A	WHO2017			A	WHO2017					
	TLX3	HOX11L2	T-ALL	1	機能獲得（再構成：BCL11B/TLX3 など）	t(5;14)(q35;q32)など		A	WHO2017									
	TNFAIP3	A20	CHL	2	機能喪失	del(6q23)		D	PMID: 28297626									
	TNFAIP3	A20	DLBCL	1	機能喪失	del(6q23)		A	WHO2017, PMID: 19412163	D	PMID: 26193343							TNFAIP3の変異により、BTK阻害剤 (Ibrutinib) に対する耐性を獲得する可能性がある。
	TNFAIP3	A20	FL	1	機能喪失	del(6q23)		A	WHO2017, PMID: 19412163									
	TNFAIP3	A20	MALT	1	機能喪失	del(6q23)		A	WHO2017, PMID: 19412163									
	TNFAIP3	A20	MCL	1	機能喪失	del(6q23)		A	WHO2017									
	TNFAIP3	A20	PMBL	1	機能喪失	del(6q23)		A	WHO2017									
	TNFRSF14	HVEM	DLBCL	1	機能喪失	del(1p36)		A	WHO2017									
	TNFRSF14	HVEM	FL	1	機能喪失	del(1p36)		A	WHO2017									
	TNFRSF14	HVEM	PTFL	1	機能喪失	del(1p36)		A	WHO2017, NCCN2019									
	TP53		ALCL (ALK-)	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017			A	WHO2017					
	TP53		BL	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017									
	TP53		CLL/SLL	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017	A	NCCN2022, NCT03836261	A	WHO2017, NCCN2019					
	TP53		DLBCL	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017			A	WHO2017					
	TP53		EATL	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017									
	TP53		ENKTL	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017									
	TP53		FL	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017			A	WHO2017					
	TP53		HCL-v	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017			A	WHO2017					
	TP53		HGBL 	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017									
	TP53		LBCL with IRF4-r	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017									
	TP53		MCL	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017			A 	PMID: 25210087 (ESMO), WHO 2017, NCCN2019					
	TP53		MM	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017, PMID: 27002115, 24434212, 21430775, 20616218, 26282654, 24429703			C	PMID: 20616218, 26282654					
	TP53		SMZL	1	機能喪失、機能獲得（変異）	del(17p13)						A	WHO2017					
	TP53		SS	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017									
	TP53		T-PLL	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017									
	TP53		WM/LPL	1	機能喪失、機能獲得（変異）	del(17p13)		A	WHO2017									
	TP63		ALCL (ALK-)	1	機能獲得（再構成：TBL1XR1/TP63など）	inv(3)(q26;q28)など		A	WHO2017, PMID: 24894770, NCCN2019			A	WHO2017, PMID: 24894770					
	TRA		T-ALL	1	機能獲得（再構成：TRA/MYCなど）	t(8;14)(q24;q11)など		A	WHO2017									
	TRA		T-PLL	1	機能獲得（融合：TRA/TCL1A, TRA/TCL1B, TRA/MTCP1など）	inv(14)(q11;q32), t(14;14)(q11;q32), t(X;14)(q28;q11.2)など		A	WHO2017									
	TRAF3		MM	2	機能喪失	del(14q)		C	PMID: 24434212, 17692805, 17692804, 26282654									
	TRB		T-ALL	1	機能獲得（再構成：TRB/LCK, TRB/LYL1など）	t(1;7)(p34;q34), t(7;19)(q34;p13)など		A	WHO2017									
	TRD		T-ALL	1	機能獲得（再構成：TRD/LMO1, TRD/LMO2, TLX1/TRDなど）	t(11;14)(p15;q11), t(11;14)(p13;q11), t(10;14)(q24;q11)など		A	WHO2017									
	TYK2		C-ALCL	1	機能獲得（融合：NPM1/TYK2、再構成）	t(5;19)(q35;p13)  		A	WHO2017									
	WWOX		MM	1	機能喪失	del(16q)		A	PMID: 27002115, 20616218, 17609426			D	PMID: 17609426					WWOXはMAFの上流（1Mb セントロメア側）に位置し、IgH/MAF転座時のブレークポイントになりうる。その際は、MAF の発現上昇とともに WWOX の失活がもたらされる。
	ZBTB16	PLZF	APL	1	機能獲得（融合：ZBTB16/RARA）	t(11;17)(q23;q21)		A	WHO2017									
	ZMIZ1		B-ALL/LBLL BCR-ABL1-like	1	機能獲得（融合：ABL1/ZMIZ1）	t(9;10)(q34;q22) 		A	WHO2017, PMID: 25207766, 30181314, 31935290			A	NCCN2020 (Pediatric ALL)					
	ZNF384		B-ALL/LBLL	2	機能獲得（融合：EP300/ZNF384など）	t(12;22)(p13;q13)など		C	PMID: 27634205									
	ZNF384		MPAL, B/myeloid, NOS	2	機能獲得（融合：TCF3/ZNF384, EP300/ZNF384など）	t(12;19)(p13;p13), t(12;22)(p13;q13)など		D	PMID: 30209392									
	FLT3	AML	D835､N676K	機能獲得（変異：ITD,TKD）	NCCN2020,ELN2017	Gilteritinib,Quizartinib(ITDのみ）	Midostaurin,Gilteritinib		Midostaurin,Sorafenib,Gilteritinib	
